Entity,Type
Project Management Process of Engineering,ORG
Site Services,ORG
British American Tobacco Bangladesh,ORG
Tofazzal Hossain,PERSON
"Rounak Ferdous
Student ID",GPE
13204048,DATE
2nd,ORDINAL
August 2018,DATE
August 2018,DATE
Tofazzal Hossain,PERSON
66,CARDINAL
Dhaka,GPE
Project Management,ORG
British American Tobacco Bangladesh,ORG
three-month,DATE
British American Tobacco Bangladesh under,ORG
"Operations
Department’s Engineering",ORG
Site Services,ORG
Internship,GPE
"Rounak Ferdous
Student ID",PERSON
13204048,DATE
Tofazzal Hossain,PERSON
first,ORDINAL
"British American Tobacco
",ORG
Bangladesh,GPE
Zarif Bazme Hafeez,PERSON
Operations Department,ORG
British American Tobacco Bangladesh,ORG
Md.,GPE
Shatil Sadman,PERSON
Samiha Haque,PERSON
Project Management,ORG
Operation’s,ORG
first,ORDINAL
British American,NORP
first,ORDINAL
British American Tobacco Bangladesh,ORG
Organizational,ORG
second,ORDINAL
this 3 months internship period,DATE
Operations Department,ORG
British American Tobacco Bangladesh,ORG
Engineering,ORG
last three months,DATE
Cigarette,PRODUCT
Civil,ORG
Engineering and Site Services,ORG
1,CARDINAL
British American Tobacco,ORG
04,CARDINAL
1.2,CARDINAL
American Tobacco,ORG
04,CARDINAL
2,CARDINAL
05,CARDINAL
3,CARDINAL
06,CARDINAL
3.2,CARDINAL
07,CARDINAL
3.3,CARDINAL
09,CARDINAL
10,CARDINAL
17-22,CARDINAL
6,CARDINAL
22,CARDINAL
8,CARDINAL
24,CARDINAL
9,CARDINAL
25,CARDINAL
1,CARDINAL
British American Tobacco Group,ORG
second,ORDINAL
more than 200,CARDINAL
1902,DATE
UK,GPE
Imperial Tobacco Company,ORG
the American Tobacco Company,ORG
James ‘Buck’ Duke,PERSON
300,CARDINAL
BAT,ORG
one billion,CARDINAL
BAT,PERSON
around one,CARDINAL
eight,CARDINAL
more than 55,CARDINAL
2015,DATE
663 billion,MONEY
44,CARDINAL
41,CARDINAL
daily,DATE
"2
billion",MONEY
British American,NORP
one,CARDINAL
two,CARDINAL
British American Tobacco,ORG
UK,GPE
USA,GPE
dozens,CARDINAL
Africa,LOC
Asia,LOC
Latin America,LOC
Europe,LOC
2015,DATE
"more than 85,000",CARDINAL
British American Tobacco,ORG
approximately £30 billion,MONEY
2015,DATE
BAT,ORG
1902,DATE
1912,DATE
dozen,CARDINAL
BAT,ORG
BAT,PERSON
thousands,CARDINAL
"more than 1,000",CARDINAL
BAT,ORG
"some 90,000",CARDINAL
the decades,DATE
BAT,ORG
BAT,PERSON
first,ORDINAL
"Dow Jones
Sustainability",ORG
2002,DATE
every year,DATE
BAT,ORG
1,CARDINAL
33,CARDINAL
British American Tobacco,ORG
British American Tobacco Bangladesh,ORG
1910,DATE
Imperial Tobacco,ORG
107 years ago,DATE
Company,ORG
first,ORDINAL
Armanitola,GPE
Dhaka,GPE
India,GPE
1947,DATE
