Entity,Type
March 2023,DATE
10.1063/5.0114074,CARDINAL
1 176,CARDINAL
4,CARDINAL
Mohammad Aloun Muhammad Suzuri Hitam,PERSON
Arab University University of Malaysia,ORG
Terengganu,GPE
6,CARDINAL
PUBLICATIONS,ORG
10,CARDINAL
CITATIONS,ORG
85,CARDINAL
PUBLICATIONS,ORG
869,CARDINAL
Wan Yussof,PERSON
University of Malaysia,ORG
Terengganu,ORG
62,CARDINAL
PUBLICATIONS,ORG
753,CARDINAL
Mohammad Aloun,PERSON
21 October 2023,DATE
2484,DATE
060013,ORG
2023,DATE
23,CARDINAL
March 2023,DATE
Mohammad Sameer Aloun,PERSON
Muhammad Suzuri Hitam,PERSON
Wan Nural,PERSON
Jawahir Hj Wan Yussof,PERSON
al,PERSON
2484,DATE
060013,ORG
2023,DATE
2484,DATE
060013,DATE
2023,DATE
"Colour and Texture Features
Mohammad Sameer Aloun1,a",ORG
Muhammad Suzuri,PERSON
Wan Nural,PERSON
"Jawahir Hj
",PERSON
"Wan Yussof1,c",PERSON
"Zainudin Bachok2,d",PERSON
1Faculty,CARDINAL
Ocean Engineering Technology and Informatics,ORG
Universiti,GPE
Malaysia Terengganu,GPE
Malaysia,GPE
Oceanography and Environment,ORG
Universiti Malaysia Terengganu,ORG
UMT,ORG
Malaysia,GPE
1,CARDINAL
2,CARDINAL
3,CARDINAL
4,CARDINAL
5,CARDINAL
6,CARDINAL
7,CARDINAL
8,CARDINAL
9,CARDINAL
10,CARDINAL
11,CARDINAL
12,CARDINAL
13,CARDINAL
14,CARDINAL
recent decades,DATE
15,CARDINAL
two,CARDINAL
16,CARDINAL
"17],[18",CARDINAL
1,CARDINAL
18,CARDINAL
1st International Postgraduate Conference on Ocean Engineering Technology and,ORG
2021,DATE
2021,DATE
Proc. 2484,DATE
AIP Publishing,ORG
978,CARDINAL
1,CARDINAL
18,CARDINAL
three,CARDINAL
19,CARDINAL
one,CARDINAL
the recent years,DATE
20,CARDINAL
21,CARDINAL
one,CARDINAL
one,CARDINAL
22,CARDINAL
One,CARDINAL
22,CARDINAL
One,CARDINAL
22,CARDINAL
Segmentation Method,ORG
two,CARDINAL
two,CARDINAL
two,CARDINAL
23,CARDINAL
Canny,ORG
zero,CARDINAL
24,CARDINAL
"Segmentation
Threshold",ORG
One,CARDINAL
three,CARDINAL
25,CARDINAL
Global Threshold,PERSON
26,CARDINAL
Local Threshold,PERSON
26,CARDINAL
26,CARDINAL
060013,CARDINAL
26,CARDINAL
27,CARDINAL
K-Means Clustering,ORG
26,CARDINAL
27,CARDINAL
Fuzzy C-Means Clustering,ORG
1973,DATE
Dunn,ORG
1981,DATE
Bezdek,ORG
28,CARDINAL
29,CARDINAL
CNN,ORG
30,CARDINAL
23,CARDINAL
two,CARDINAL
three,CARDINAL
31,CARDINAL
two,CARDINAL
Shah Model,PERSON
23,CARDINAL
060013,CARDINAL
six,CARDINAL
32,CARDINAL
two,CARDINAL
2,CARDINAL
33,CARDINAL
1,CARDINAL
Classes Methods,WORK_OF_ART
Law,PERSON
F,PRODUCT
Locally,ORG
Mosaic,PRODUCT
Two,CARDINAL
Two,CARDINAL
Two,CARDINAL
060013,CARDINAL
2,CARDINAL
"Subjective Methods
One",WORK_OF_ART
34,CARDINAL
Direct Evaluation and Indirect Evaluation,ORG
34,CARDINAL
Evaluation and Empirical Evaluation,WORK_OF_ART
two,CARDINAL
two,CARDINAL
two,CARDINAL
one,CARDINAL
One,CARDINAL
060013,CARDINAL
GT,ORG
34,CARDINAL
"Evaluation Parameter of Image Segmentation
",ORG
2,CARDINAL
TABLE 2,ORG
PRI,ORG
Variation of Measures,ORG
one,CARDINAL
two,CARDINAL
VoI,ORG
Global Computes,PERSON
